cell_index_zero_based,cell_type,status,group,source_lines,first_nonempty_line,rationale
46,markdown,SET_ASIDE,Q01_generated_repetition,3,**Reasoning**:,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
47,code,SET_ASIDE,Q01_generated_repetition,0,,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
48,code,SET_ASIDE,Q01_generated_repetition,24,"def compute_mask(img, block_size=16, std_thresh=20, grad_thresh=50):","Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
49,markdown,SET_ASIDE,Q01_generated_repetition,1,Here yest,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
50,code,SET_ASIDE,Q01_generated_repetition,30,"def compute_mask(img, block_size=16, std_thresh=20, grad_thresh=50, coh_thresh=0.5):","Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
51,markdown,SET_ASIDE,Q01_generated_repetition,14,## Define draw_orientation function,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
52,markdown,SET_ASIDE,Q01_generated_repetition,3,**Reasoning**:,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
53,code,SET_ASIDE,Q01_generated_repetition,37,"def draw_orientation(img, orientation, mask, block_size=16, line_len=6):","Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
54,markdown,SET_ASIDE,Q01_generated_repetition,3,**Reasoning**:,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
55,markdown,SET_ASIDE,Q01_generated_repetition,1,Here yes:,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
56,code,SET_ASIDE,Q01_generated_repetition,37,"def draw_orientation(img, orientation, mask, block_size=16, line_len=6):","Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
57,markdown,SET_ASIDE,Q01_generated_repetition,10,## Re-run Visualization Steps with Fix,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
58,markdown,SET_ASIDE,Q01_generated_repetition,10,## Re-run Visualization Steps with Fix,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
59,markdown,SET_ASIDE,Q01_generated_repetition,4,## Final Task,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
60,markdown,SET_ASIDE,Q01_generated_repetition,16,## Summary:,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
61,markdown,SET_ASIDE,Q01_generated_repetition,2,# Task,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
62,markdown,SET_ASIDE,Q01_generated_repetition,4,## Re-execute Orientation Field Visualization,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
63,markdown,SET_ASIDE,Q01_generated_repetition,7,## Re-execute Orientation Field Visualization,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
64,markdown,SET_ASIDE,Q01_generated_repetition,2,# Task,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
65,markdown,SET_ASIDE,Q01_generated_repetition,4,## Réexécuter l'estimation et la visualisation du champ d'orientation,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
66,markdown,SET_ASIDE,Q01_generated_repetition,4,## Réexécuter la visualisation du masque de fiabilité et de la superposition,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
67,markdown,SET_ASIDE,Q01_generated_repetition,4,## Réexécuter la visualisation côte à côte,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
68,markdown,SET_ASIDE,Q01_generated_repetition,7,## Réexécuter la visualisation côte à côte,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
69,markdown,SET_ASIDE,Q01_generated_repetition,4,## Final Task,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
70,markdown,SET_ASIDE,Q01_generated_repetition,14,## Summary:,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
71,code,DUPLICATE_REFERENCE,Q01_generated_repetition,5,def thinning(img):,Contains a repeated implementation already retained from earlier cells; keep only as forensic reference.
72,code,DUPLICATE_REFERENCE,Q01_generated_repetition,23,def crossing_number(neighbors):,Contains a repeated implementation already retained from earlier cells; keep only as forensic reference.
73,code,SET_ASIDE,Q01_generated_repetition,24,"def draw_minutiae(img, minutiae, orientation, block_size=16):","Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
74,markdown,SET_ASIDE,Q01_generated_repetition,2,# Task,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
75,markdown,SET_ASIDE,Q01_generated_repetition,4,## Define Helper Function to Draw Minutiae Points,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
76,markdown,SET_ASIDE,Q01_generated_repetition,3,**Reasoning**:,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
77,code,DUPLICATE_REFERENCE,Q01_generated_repetition,15,"def draw_minutiae_only_points(img, minutiae):",Contains a repeated implementation already retained from earlier cells; keep only as forensic reference.
78,markdown,SET_ASIDE,Q01_generated_repetition,3,**Reasoning**:,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
79,code,SET_ASIDE,Q01_generated_repetition,21,"minutiae_on_skeleton = draw_minutiae_only_points(skeleton, minutiae)","Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
80,markdown,SET_ASIDE,Q01_generated_repetition,2,# Task,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
81,markdown,SET_ASIDE,Q01_generated_repetition,8,## Resize Mask for Skeleton,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
82,markdown,SET_ASIDE,Q01_generated_repetition,2,# Task,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
83,markdown,SET_ASIDE,Q01_generated_repetition,4,## Redimensionner le masque,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
84,markdown,SET_ASIDE,Q01_generated_repetition,3,**Reasoning**:,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
85,code,DUPLICATE_REFERENCE,Q01_generated_repetition,2,"resized_mask = cv2.resize((mask * 255).astype(np.uint8), (skeleton.shape[1], skeleton.shape[0]), interpolation=cv2.INTER_NEAREST)",Contains a repeated implementation already retained from earlier cells; keep only as forensic reference.
86,markdown,SET_ASIDE,Q01_generated_repetition,3,**Reasoning**:,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
87,code,DUPLICATE_REFERENCE,Q01_generated_repetition,2,"masked_skeleton = cv2.bitwise_and(skeleton, skeleton, mask=resized_mask)",Contains a repeated implementation already retained from earlier cells; keep only as forensic reference.
88,markdown,SET_ASIDE,Q01_generated_repetition,4,## Final Task,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
89,markdown,SET_ASIDE,Q01_generated_repetition,14,## Summary:,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
90,markdown,SET_ASIDE,Q01_generated_repetition,2,# Task,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
91,markdown,SET_ASIDE,Q01_generated_repetition,4,## Modify draw_minutiae function,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
92,markdown,SET_ASIDE,Q01_generated_repetition,7,## Summary of Fix:,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
93,markdown,SET_ASIDE,Q01_generated_repetition,4,## Re-run Minutiae Visualization,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
94,markdown,SET_ASIDE,Q01_generated_repetition,7,## Re-run Minutiae Visualization,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
95,markdown,SET_ASIDE,Q01_generated_repetition,4,## Final Task,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
96,markdown,SET_ASIDE,Q01_generated_repetition,14,## Summary:,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
97,markdown,SET_ASIDE,Q01_generated_repetition,2,# Task,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
98,markdown,SET_ASIDE,Q01_generated_repetition,4,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
99,markdown,SET_ASIDE,Q01_generated_repetition,11,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
100,markdown,SET_ASIDE,Q01_generated_repetition,11,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
101,markdown,SET_ASIDE,Q01_generated_repetition,11,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
102,markdown,SET_ASIDE,Q01_generated_repetition,11,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
103,markdown,SET_ASIDE,Q01_generated_repetition,11,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
104,markdown,SET_ASIDE,Q01_generated_repetition,11,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
105,markdown,SET_ASIDE,Q01_generated_repetition,11,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
106,markdown,SET_ASIDE,Q01_generated_repetition,11,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
107,markdown,SET_ASIDE,Q01_generated_repetition,11,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
108,markdown,SET_ASIDE,Q01_generated_repetition,11,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
109,markdown,SET_ASIDE,Q01_generated_repetition,11,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
110,markdown,SET_ASIDE,Q01_generated_repetition,11,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
111,markdown,SET_ASIDE,Q01_generated_repetition,12,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
112,markdown,SET_ASIDE,Q01_generated_repetition,12,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
113,markdown,SET_ASIDE,Q01_generated_repetition,12,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
114,markdown,SET_ASIDE,Q01_generated_repetition,12,## Research ISO/IEC 19794-2:2005 Standard,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
115,markdown,SET_ASIDE,Q01_generated_repetition,4,## Prepare Minutiae Data for Export,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
116,markdown,SET_ASIDE,Q01_generated_repetition,26,## ISO/IEC 19794-2:2005 Standard for Minutiae Data,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
117,markdown,SET_ASIDE,Q01_generated_repetition,3,**Reasoning**:,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
118,code,QUARANTINE,Q02_iso_biocts,55,"def convert_to_iso_minutiae(minutiae_list, orientation_field, block_size=16, img_height=None):",Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
119,markdown,QUARANTINE,Q02_iso_biocts,4,## Implement ISO/IEC 19794-2:2005 Template Generation,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
120,markdown,QUARANTINE,Q02_iso_biocts,3,**Reasoning**:,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
121,code,QUARANTINE,Q02_iso_biocts,94,import struct,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
122,markdown,QUARANTINE,Q02_iso_biocts,4,## Export to File,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
123,markdown,QUARANTINE,Q02_iso_biocts,12,## Define Function to Save ISO Template to File,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
124,markdown,QUARANTINE,Q02_iso_biocts,3,**Reasoning**:,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
125,code,QUARANTINE,Q02_iso_biocts,19,"def save_iso_template_to_file(iso_minutiae_data, image_width, image_height, resolution_dpi, filename):",Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
126,markdown,QUARANTINE,Q02_iso_biocts,4,## Final Task,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
127,markdown,QUARANTINE,Q02_iso_biocts,13,## Summary:,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
128,markdown,QUARANTINE,Q02_iso_biocts,2,# Task,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
129,markdown,QUARANTINE,Q02_iso_biocts,4,## Save FPT to Google Drive,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
130,markdown,QUARANTINE,Q02_iso_biocts,3,**Reasoning**:,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
131,code,QUARANTINE,Q02_iso_biocts,12,import shutil,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
132,markdown,QUARANTINE,Q02_iso_biocts,4,## Verify File in Drive,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
133,markdown,QUARANTINE,Q02_iso_biocts,3,**Reasoning**:,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
134,code,QUARANTINE,Q02_iso_biocts,18,import os,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
135,markdown,QUARANTINE,Q02_iso_biocts,4,## Final Task,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
136,markdown,QUARANTINE,Q02_iso_biocts,12,## Summary:,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
137,markdown,QUARANTINE,Q02_iso_biocts,2,# Task,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
138,markdown,QUARANTINE,Q02_iso_biocts,4,## Research ISO/IEC 19794-2:2011 Standard,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
139,markdown,QUARANTINE,Q02_iso_biocts,11,### Subtask:,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
140,markdown,QUARANTINE,Q02_iso_biocts,11,### Subtask:,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
141,markdown,QUARANTINE,Q02_iso_biocts,11,### Subtask:,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
142,markdown,QUARANTINE,Q02_iso_biocts,11,### Subtask:,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
143,markdown,QUARANTINE,Q02_iso_biocts,11,### Subtask:,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
144,markdown,QUARANTINE,Q02_iso_biocts,11,### Subtask:,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
145,markdown,QUARANTINE,Q02_iso_biocts,11,### Subtask:,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
146,markdown,QUARANTINE,Q02_iso_biocts,11,### Subtask:,Ad hoc ISO/FMR writer and self-parser. It mixes 2005/2011 assumptions and self-consistency is not external conformance; do not execute or claim ISO/BioCTS compliance.
